fm_name,fm_slug,mg,eq,main,clase,score,fedb_id,fedb_name,img
Aperturas con Mancuernas,aperturas-mancuernas,pecho,DUMBBELL,False,PROBABLE,0.8,One-Arm_Flat_Bench_Dumbbell_Flye,One-Arm Flat Bench Dumbbell Flye,One-Arm_Flat_Bench_Dumbbell_Flye/0.jpg
Aperturas Inclinadas con Mancuernas,aperturas-inclinadas-mancuernas,pecho,DUMBBELL,False,DIRECTO,0.95,Hammer_Grip_Incline_DB_Bench_Press,Hammer Grip Incline DB Bench Press,Hammer_Grip_Incline_DB_Bench_Press/0.jpg
Cruce de Poleas,cruce-poleas,pecho,CABLE,False,DIRECTO,1.3,Cable_Crossover,Cable Crossover,Cable_Crossover/0.jpg
Flexiones de Brazos,flexiones-brazos,pecho,BODYWEIGHT,False,DIRECTO,1.3,Clock_Push-Up,Clock Push-Up,Clock_Push-Up/0.jpg
Fondos en Paralelas (Pecho),fondos-pecho,pecho,BODYWEIGHT,False,PROBABLE,0.65,Parallel_Bar_Dip,Parallel Bar Dip,Parallel_Bar_Dip/0.jpg
Pec Deck (Contractora),pec-deck-contractora,pecho,MACHINE,False,PROBABLE,0.8,Butterfly,Butterfly,Butterfly/0.jpg
Press de Banca con Barra,press-banca-barra,pecho,BARBELL,True,DIRECTO,1.3,Barbell_Bench_Press_-_Medium_Grip,Barbell Bench Press - Medium Grip,Barbell_Bench_Press_-_Medium_Grip/0.jpg
Press de Banca con Mancuernas,press-banca-mancuernas,pecho,DUMBBELL,False,DIRECTO,1.3,Decline_Dumbbell_Bench_Press,Decline Dumbbell Bench Press,Decline_Dumbbell_Bench_Press/0.jpg
Press de Banca en Máquina Smith,press-banca-smith,pecho,SMITH_MACHINE,False,DIRECTO,1.3,Smith_Machine_Bench_Press,Smith Machine Bench Press,Smith_Machine_Bench_Press/0.jpg
Press de Pecho en Máquina,press-pecho-maquina,pecho,MACHINE,False,DIRECTO,1.3,Leverage_Chest_Press,Leverage Chest Press,Leverage_Chest_Press/0.jpg
Press de Banca Declinado con Barra,press-declinado-barra,pecho,BARBELL,False,DIRECTO,1.45,Decline_Barbell_Bench_Press,Decline Barbell Bench Press,Decline_Barbell_Bench_Press/0.jpg
